Roses,red,Violets,blue,Ice cream,have a soul-jerking conversation
Periods,red,Kiwis,green,Brownie,find good music with
Daffodils ,yellow,Orchid ,white,Tiramisu ,give a magical hug to
Cornflowers,blue,Roses,yellow,Truffles,share hopes and fears
Lilys,white,Daisies,yellow,Lemon cheesecake,have a consensual hand-holding session
Touch,yellow,Orchide,green,Candy,do a hand hug
Narcissi,white,Snapdragons,lavender,Tres leche ,gently stroke your hair
Tulip,orange,Cactus,pink,Ice cream,go running
Sunflowers,orange,Tulips,pink,Lassi,find shapes in the clouds
Amaryllis,pink,Bleeding hearts,red,Cherry pie,life or death chat
peonies,pink,Rhododendrons,fuschia,Donuts,call out
Tulips,purple,Lilies,pink,Pudding,stroke
chrysanthem,purple,Azaleas,purple,Crème brulée,share a common desire with
daisies,white,Hydrangeas,purple,Pie,share a sunrise
Violets,violet,Bluebells,blue,Key lime pie,suck up to
Dandelions ,golden,Chrysanthemums ,oker,Pudding,talk politics with
